year,prop1_black_cast,prop1_black_composers,prop1_black_creators,prop1_black_directors,prop1_black_executive_producers,prop1_black_presenters,prop1_black_producers,prop1_female_cast,prop1_female_composers,prop1_female_creators,prop1_female_directors,prop1_female_executive_producers,prop1_female_presenters,prop1_female_producers,prop_black_cast,prop_black_composers,prop_black_creators,prop_black_directors,prop_black_executive_producers,prop_black_presenters,prop_black_producers,prop_female_cast,prop_female_composers,prop_female_creators,prop_female_directors,prop_female_executive_producers,prop_female_presenters,prop_female_producers
1946-1947,0.0,,0.0,0.0,,0.0,0.0,0.4,,0.0,0.0,,0.125,0.0,0.0,,0.0,0.0,,0.0,0.0,0.368421052632,,0.0,0.0,,0.0833333333333,0.0
1947-1948,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,,0.4,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.333333333333,,0.4,0.0,0.0,0.0,0.0
1948-1949,0.0434782608696,0.0,0.0588235294118,0.0,0.0,0.0,0.0,0.433333333333,0.5,0.277777777778,0.0,0.0,0.25,0.111111111111,0.025641025641,0.0,0.0769230769231,0.0,0.0,0.0,0.0,0.384615384615,0.125,0.384615384615,0.0,0.0,0.270833333333,0.0833333333333
1949-1950,0.0181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.366197183099,0.5,0.212121212121,0.0454545454545,0.0,0.32,0.0526315789474,0.0108695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.228260869565,0.2,0.272727272727,0.0208333333333,0.0,0.322033898305,0.0384615384615
1950-1951,0.0344827586207,0.0,0.0,0.0,0.0,0.0408163265306,0.04,0.328767123288,0.368421052632,0.138888888889,0.0967741935484,0.0909090909091,0.254237288136,0.115384615385,0.0157480314961,0.0,0.0,0.0,0.0,0.0238095238095,0.0181818181818,0.236220472441,0.105263157895,0.227272727273,0.0365853658537,0.0666666666667,0.154761904762,0.0545454545455
1951-1952,0.0298507462687,0.0,0.0454545454545,0.0,0.0714285714286,0.119402985075,0.027027027027,0.367816091954,0.285714285714,0.0697674418605,0.108695652174,0.0384615384615,0.291139240506,0.102564102564,0.0129032258065,0.0,0.0384615384615,0.0,0.0769230769231,0.0416666666667,0.0135135135135,0.303225806452,0.0857142857143,0.115384615385,0.030612244898,0.0384615384615,0.177083333333,0.0540540540541
1952-1953,0.0253164556962,0.0,0.0,0.0,0.0,0.123456790123,0.106382978723,0.357798165138,0.25,0.078431372549,0.0652173913043,0.0833333333333,0.344086021505,0.0851063829787,0.0128205128205,0.0,0.0,0.0,0.0,0.0380952380952,0.0405405405405,0.275641025641,0.075,0.142857142857,0.027027027027,0.08,0.2,0.0540540540541
1953-1954,0.056338028169,0.0,0.0238095238095,0.0,0.0588235294118,0.10989010989,0.102040816327,0.35,0.222222222222,0.116279069767,0.051724137931,0.0882352941176,0.373831775701,0.1,0.0159574468085,0.0,0.0277777777778,0.0,0.0606060606061,0.0325203252033,0.031914893617,0.313829787234,0.0888888888889,0.138888888889,0.0236220472441,0.0909090909091,0.211382113821,0.0531914893617
1954-1955,0.0357142857143,0.0285714285714,0.0,0.0185185185185,0.0,0.10101010101,0.109090909091,0.406504065041,0.214285714286,0.0357142857143,0.105263157895,0.111111111111,0.345454545455,0.0909090909091,0.0148514851485,0.0217391304348,0.0,0.00813008130081,0.0,0.0384615384615,0.0333333333333,0.346534653465,0.0652173913043,0.0555555555556,0.0325203252033,0.107142857143,0.192307692308,0.0444444444444
1955-1956,0.0813953488372,0.0322580645161,0.0,0.03125,0.0,0.0943396226415,0.0281690140845,0.406504065041,0.194444444444,0.0377358490566,0.117647058824,0.113636363636,0.324561403509,0.16,0.0295566502463,0.0212765957447,0.0,0.00694444444444,0.0,0.0377358490566,0.00990099009901,0.344827586207,0.063829787234,0.0322580645161,0.0347222222222,0.131578947368,0.160377358491,0.0891089108911
1956-1957,0.0243902439024,0.025641025641,0.0,0.025641025641,0.0,0.112068965517,0.0240963855422,0.418032786885,0.204545454545,0.0769230769231,0.144578313253,0.173076923077,0.3,0.173913043478,0.01,0.0188679245283,0.0,0.00653594771242,0.0,0.040404040404,0.00892857142857,0.325,0.0754716981132,0.0833333333333,0.0392156862745,0.111111111111,0.181818181818,0.0803571428571
1957-1958,0.0241935483871,0.0,0.00990099009901,0.0530973451327,0.0224719101124,0.140350877193,0.0337837837838,0.38829787234,0.148936170213,0.0747663551402,0.104347826087,0.127659574468,0.231578947368,0.120253164557,0.00766283524904,0.0,0.0188679245283,0.00653594771242,0.0196078431373,0.0540540540541,0.015037593985,0.318007662835,0.0365853658537,0.0754716981132,0.0326797385621,0.0980392156863,0.153153153153,0.0601503759398
1958-1959,0.043795620438,0.0,0.0175438596491,0.0515463917526,0.0449438202247,0.128205128205,0.031746031746,0.417085427136,0.174757281553,0.0508474576271,0.111111111111,0.0760869565217,0.256983240223,0.156028368794,0.0149253731343,0.0,0.0185185185185,0.00740740740741,0.0344827586207,0.0571428571429,0.015037593985,0.324626865672,0.0561797752809,0.037037037037,0.0296296296296,0.0689655172414,0.152380952381,0.0601503759398
