year,prop1_black_cast,prop1_black_composers,prop1_black_creators,prop1_black_directors,prop1_black_executive_producers,prop1_black_presenters,prop1_black_producers,prop1_female_cast,prop1_female_composers,prop1_female_creators,prop1_female_directors,prop1_female_executive_producers,prop1_female_presenters,prop1_female_producers,prop_black_cast,prop_black_composers,prop_black_creators,prop_black_directors,prop_black_executive_producers,prop_black_presenters,prop_black_producers,prop_female_cast,prop_female_composers,prop_female_creators,prop_female_directors,prop_female_executive_producers,prop_female_presenters,prop_female_producers
1946-1947,0.0,,0.0,0.0,,0.0,0.0,0.333333333333,,0.0,0.0,,0.111111111111,0.0,0.0,,0.0,0.0,,0.0,0.0,0.363636363636,,0.0,0.0,,0.0769230769231,0.0
1947-1948,0.0,,0.0,0.0,0.0,0.0,0.0,0.25,,0.222222222222,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.3,,0.333333333333,0.0,0.0,0.0,0.0
1948-1949,0.0,0.0,0.047619047619,0.0,0.0,0.0,0.0,0.40625,0.461538461538,0.227272727273,0.0,0.0,0.244897959184,0.0769230769231,0.0,0.0,0.0714285714286,0.0,0.0,0.0,0.0,0.340909090909,0.1,0.357142857143,0.0,0.0,0.258620689655,0.0625
1949-1950,0.0175438596491,0.0,0.0,0.0,0.0,0.0,0.0,0.341772151899,0.333333333333,0.166666666667,0.0454545454545,0.0,0.303571428571,0.0434782608696,0.00925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.231481481481,0.133333333333,0.25,0.0166666666667,0.0,0.301369863014,0.0294117647059
1950-1951,0.0338983050847,0.0,0.0,0.0,0.0,0.037037037037,0.0344827586207,0.3125,0.28,0.111111111111,0.09375,0.0833333333333,0.230769230769,0.1,0.0140845070423,0.0,0.0,0.0,0.0,0.0210526315789,0.015873015873,0.225352112676,0.0909090909091,0.2,0.0288461538462,0.0555555555556,0.147368421053,0.047619047619
1951-1952,0.0294117647059,0.0,0.0363636363636,0.0,0.0645161290323,0.111111111111,0.0232558139535,0.357142857143,0.222222222222,0.0555555555556,0.125,0.0344827586207,0.279069767442,0.0888888888889,0.0113636363636,0.0,0.0344827586207,0.0,0.0645161290323,0.0357142857143,0.0116279069767,0.295454545455,0.0714285714286,0.103448275862,0.0327868852459,0.0322580645161,0.178571428571,0.046511627907
1952-1953,0.0229885057471,0.0,0.0,0.0,0.0,0.114942528736,0.0754716981132,0.344537815126,0.241379310345,0.0689655172414,0.0727272727273,0.0689655172414,0.33,0.0925925925926,0.0104712041885,0.0,0.0,0.0,0.0,0.0322580645161,0.0224719101124,0.246073298429,0.0652173913043,0.121212121212,0.0277777777778,0.0645161290323,0.193548387097,0.0561797752809
1953-1954,0.0526315789474,0.0,0.0185185185185,0.0,0.05,0.103092783505,0.0754716981132,0.355140186916,0.216216216216,0.0909090909091,0.0634920634921,0.121951219512,0.359649122807,0.0909090909091,0.012987012987,0.0,0.0232558139535,0.0,0.046511627907,0.0281690140845,0.0183486238532,0.290043290043,0.078431372549,0.116279069767,0.0308641975309,0.116279069767,0.204225352113,0.045871559633
1954-1955,0.0210526315789,0.0204081632653,0.0,0.016393442623,0.0,0.0943396226415,0.0746268656716,0.384615384615,0.160714285714,0.027397260274,0.107692307692,0.138888888889,0.327731092437,0.1,0.0080971659919,0.0185185185185,0.0,0.00621118012422,0.0,0.0333333333333,0.0178571428571,0.336032388664,0.0555555555556,0.0408163265306,0.0372670807453,0.142857142857,0.183333333333,0.0535714285714
1955-1956,0.06,0.0222222222222,0.0,0.025641025641,0.0,0.0892857142857,0.0235294117647,0.386206896552,0.14,0.0533333333333,0.10843373494,0.14,0.286885245902,0.150537634409,0.0196078431373,0.0185185185185,0.0,0.00523560209424,0.0,0.0322580645161,0.0078125,0.329411764706,0.0555555555556,0.046511627907,0.0366492146597,0.173913043478,0.145161290323,0.0859375
1956-1957,0.021978021978,0.0185185185185,0.0,0.0235294117647,0.0,0.109243697479,0.0215053763441,0.408759124088,0.152542372881,0.102272727273,0.141304347826,0.19298245614,0.261904761905,0.171428571429,0.0080971659919,0.015873015873,0.0,0.00502512562814,0.0,0.034188034188,0.00714285714286,0.323886639676,0.0634920634921,0.0851063829787,0.0402010050251,0.159090909091,0.153846153846,0.0785714285714
1957-1958,0.0227272727273,0.0,0.00735294117647,0.0512820512821,0.0183486238532,0.136363636364,0.03125,0.383084577114,0.141414141414,0.0845070422535,0.122950819672,0.122807017544,0.218905472637,0.145348837209,0.00649350649351,0.0,0.0151515151515,0.0049504950495,0.015873015873,0.0454545454545,0.0121212121212,0.314935064935,0.0294117647059,0.0757575757576,0.0346534653465,0.111111111111,0.136363636364,0.0666666666667
1958-1959,0.0425531914894,0.0,0.0128205128205,0.047619047619,0.0388349514563,0.125,0.029197080292,0.417475728155,0.15652173913,0.08125,0.127272727273,0.0849056603774,0.245989304813,0.162337662338,0.0127388535032,0.0,0.0147058823529,0.00561797752809,0.0281690140845,0.048,0.0117647058824,0.324840764331,0.045045045045,0.0441176470588,0.0280898876404,0.0845070422535,0.136,0.0588235294118
1959-1960,0.0165745856354,0.00826446280992,0.0169491525424,0.0535714285714,0.0176991150442,0.0983606557377,0.0232558139535,0.419014084507,0.121212121212,0.0625,0.177419354839,0.0756302521008,0.202898550725,0.160621761658,0.00510204081633,0.00787401574803,0.0108695652174,0.00995024875622,0.0138888888889,0.045871559633,0.00473933649289,0.301020408163,0.0314960629921,0.0434782608696,0.044776119403,0.0833333333333,0.137614678899,0.0568720379147
1960-1961,0.0486486486486,0.00970873786408,0.0561797752809,0.051724137931,0.00877192982456,0.042735042735,0.0120481927711,0.398550724638,0.125,0.0705882352941,0.165354330709,0.0916666666667,0.238805970149,0.116666666667,0.00461893764434,0.00833333333333,0.0108695652174,0.0111111111111,0.0108695652174,0.0172413793103,0.00467289719626,0.293302540416,0.0333333333333,0.0434782608696,0.0444444444444,0.108695652174,0.215517241379,0.0514018691589
1961-1962,0.0361445783133,0.0104166666667,0.0538922155689,0.0654205607477,0.00943396226415,0.123711340206,0.0202702702703,0.409266409266,0.146788990826,0.0691823899371,0.232,0.095652173913,0.201754385965,0.114649681529,0.00443458980044,0.00917431192661,0.0111111111111,0.0114942528736,0.0112359550562,0.0449438202247,0.0049504950495,0.310421286031,0.045871559633,0.0333333333333,0.0574712643678,0.112359550562,0.191011235955,0.039603960396
1962-1963,0.0807453416149,0.0,0.0457142857143,0.02,0.02,0.105769230769,0.014598540146,0.428571428571,0.118279569892,0.0591715976331,0.233333333333,0.0841121495327,0.177966101695,0.158940397351,0.00913242009132,0.0,0.0114942528736,0.00641025641026,0.0116279069767,0.0425531914894,0.00561797752809,0.299086757991,0.045871559633,0.0459770114943,0.0641025641026,0.104651162791,0.202127659574,0.0449438202247
1963-1964,0.0675675675676,0.0,0.0469798657718,0.0425531914894,0.0166666666667,0.0684931506849,0.0152671755725,0.439330543933,0.105882352941,0.114093959732,0.267857142857,0.0859375,0.106666666667,0.15,0.0126903553299,0.0,0.0112359550562,0.0236686390533,0.018018018018,0.025641025641,0.00609756097561,0.322335025381,0.0462962962963,0.101123595506,0.0532544378698,0.108108108108,0.179487179487,0.0426829268293
1964-1965,0.0518867924528,0.0,0.0264317180617,0.0220588235294,0.0153846153846,0.0705882352941,0.0321100917431,0.427325581395,0.0962962962963,0.114893617021,0.197452229299,0.0990566037736,0.161290322581,0.115044247788,0.011013215859,0.0,0.00900900900901,0.0111731843575,0.0172413793103,0.027397260274,0.0111731843575,0.332599118943,0.0434782608696,0.0720720720721,0.0502793296089,0.103448275862,0.191780821918,0.0446927374302
1965-1966,0.0353535353535,0.0,0.0,0.029197080292,0.0062893081761,0.0757575757576,0.0147058823529,0.424615384615,0.0689655172414,0.10970464135,0.20253164557,0.122222222222,0.202702702703,0.12676056338,0.00862068965517,0.0,0.0,0.0114285714286,0.00869565217391,0.0253164556962,0.00555555555556,0.310344827586,0.0471698113208,0.0661157024793,0.0514285714286,0.104347826087,0.227848101266,0.0388888888889
1966-1967,0.0319634703196,0.0,0.00706713780919,0.0503144654088,0.0,0.0754716981132,0.0248962655602,0.418539325843,0.0802919708029,0.118032786885,0.168604651163,0.135371179039,0.2734375,0.134920634921,0.0100806451613,0.0,0.00763358778626,0.00956937799043,0.0,0.0217391304348,0.00529100529101,0.318548387097,0.0384615384615,0.0763358778626,0.0382775119617,0.0970149253731,0.195652173913,0.0529100529101
1967-1968,0.0333333333333,0.0,0.0153256704981,0.101265822785,0.00578034682081,0.0909090909091,0.0,0.387453874539,0.0901639344262,0.127272727273,0.184049079755,0.130653266332,0.211538461538,0.159420289855,0.00963855421687,0.0,0.008,0.0222222222222,0.00746268656716,0.0263157894737,0.0,0.30843373494,0.04,0.088,0.0444444444444,0.119402985075,0.197368421053,0.0548780487805
1968-1969,0.0271739130435,0.0,0.00769230769231,0.0795454545455,0.0111731843575,0.0869565217391,0.0,0.444078947368,0.0851063829787,0.157142857143,0.175141242938,0.213333333333,0.190476190476,0.2194092827,0.00655021834061,0.0,0.0078125,0.027397260274,0.00671140939597,0.0307692307692,0.0,0.331877729258,0.043956043956,0.078125,0.041095890411,0.167785234899,0.138461538462,0.0588235294118
1969-1970,0.0666666666667,0.0,0.014598540146,0.1,0.015873015873,0.0470588235294,0.0,0.454293628809,0.08,0.183673469388,0.169696969697,0.218884120172,0.257425742574,0.224,0.0144628099174,0.0,0.0077519379845,0.0252100840336,0.00684931506849,0.0147058823529,0.0,0.351239669421,0.030612244898,0.108527131783,0.0336134453782,0.164383561644,0.191176470588,0.0613496932515
